Tarapacá,Iquique,	Iquique,	593,	203,	01101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Tarapacá,Iquique,	Alto,Hospicio,	291,	104,	01107,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Tarapacá,Tamarugal,	Pozo,Almonte,	31,	10,	01401,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Tarapacá,Tamarugal,	Camiña,	3,	0,	01402,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Tarapacá,Tamarugal,	Colchane,	1,	1,	01403,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Tarapacá,Tamarugal,	Huara,	4,	0,	01404,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Tarapacá,Tamarugal,	Pica,	10,	5,	01405,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,Antofagasta,	Antofagasta,	439,	185,	02101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,Antofagasta,	Mejillones,	5,	4,	02102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,Antofagasta,	Sierra,Gorda,	1,	0,	02103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,Antofagasta,	Taltal,	5,	1,	02104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,El Loa,	Calama,	139,	28,	02201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,El Loa,	Ollagüe,	0,	0,	02202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,El Loa,	San,Pedro,de,Atacama,	6,	1,	02203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,Tocopilla,	Tocopilla,	156,	60,	02301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Antofagasta,Tocopilla,	María,Elena,	0,	0,	02302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Copiapó,Copiapó,	397,	177,	03101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Copiapó,Caldera,	31,	16,	03102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Copiapó,Tierra,Amarilla,	24,	10,	03103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Chañaral,Chañaral,	7,	0,	03201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Chañaral,Diego de Almagro,	10,	4,	03202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Huasco,Vallenar,	106,	29,	03301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Huasco,Alto,del,Carmen,	2,	1,	03302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Huasco,Freirina,	7,	3,	03303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Atacama,Huasco,Huasco,	14,	4,	03304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Elqui,La,Serena,	411,	191,	04101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Elqui,Coquimbo,	537,	240,	04102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Elqui,Andacollo,	17,	8,	04103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Elqui,La Higuera,	4,	1,	04104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Elqui,Paiguano,	3,	2,	04105,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Elqui,Vicuña,	62,	24,	04106,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Choapa,Illapel,	68,	24,	04201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Choapa,Canela,	1,	1,	04202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Choapa,Los,Vilos,	21,	8,	04203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Choapa,Salamanca,	41,	10,	04204,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Limarí,Ovalle,	203,	86,	04301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Limarí,Combarbalá,	30,	20,	04302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Limarí,Monte Patria,	30,	9,	04303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Limarí,Punitaqui,	16,	5,	04304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Coquimbo,Limarí,Río Hurtado,	4,	1,	04305,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Valparaíso,Valparaíso,	1221,	385,	05101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Valparaíso,Casablanca,	78,	38,	05102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Valparaíso,Juan Fernández,	0,	0,	05104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Valparaíso,Puchuncaví,	50,	27,	05105,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Valparaíso,Quintero,	60,	25,	05107,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Isla de Pascua,Isla de Pascua,	0,	0,	05201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,Los Andes,Los Andes,	176,	100,	05301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Los Andes,Calle Larga,	32,	13,	05302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Los Andes,Rinconada,	29,	16,	05303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Los Andes,San Esteban,	36,	18,	05304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Petorca,La Ligua,	166,	96,	05401,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Petorca,Cabildo,	71,	41,	05402,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Petorca,Papudo,	22,	10,	05403,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Petorca,Petorca,	19,	10,	05404,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Petorca,Zapallar,	18,	7,	05405,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Quillota,Calera,	186,	81,	05502,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Quillota,Hijuelas,	51,	29,	05503,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Quillota,La Cruz,	70,	30,	05504,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Quillota,Nogales,	33,	12,	05506,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Antonio,San,Antonio,	336,	110,	05601,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Antonio,Algarrobo,	25,	11,	05602,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Antonio,Cartagena,	39,	9,	05603,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Antonio,El,Quisco,	40,	13,	05604,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Antonio,El,Tabo,	28,	11,	05605,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Antonio,Santo,Domingo,	24,	11,	05606,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Felipe de Aconcagua,	San,Felipe,	326,	187,	05701,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Felipe de Aconcagua,	Catemu,	34,	19,	05702,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Felipe de Aconcagua,	Llaillay,	70,	36,	05703,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San Felipe de Aconcagua,	Panquehue,	13,	7,	05704,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San,Felipe de Aconcagua,	Putaendo,	40,	21,	05705,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	San,Felipe de Aconcagua,	Santa,María,	46,	24,	05706,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Marga,Marga,	Quilpué,	482,	178,	05801,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Valparaíso,	Marga,Marga,	Olmué,	18,	6,	05803,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Rancagua,	1083,	603,	06101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Codegua,	17,	8,	06102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Coinco,	8,	5,	06103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Coltauco,	39,	15,	06104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Doñihue,	50,	18,	06105,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Graneros,	80,	37,	06106,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Las,Cabras,	44,	13,	06107,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Machalí,	148,	55,	06108,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Malloa,	27,	12,	06109,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Mostazal,	48,	22,	06110,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Olivar,	26,	7,	06111,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Peumo,	53,	25,	06112,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Pichidegua,	31,	11,	06113,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Quinta,de,Tilcoco,	28,	11,	06114,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Rengo,	222,	110,	06115,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	Requínoa,	41,	8,	06116,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cachapoal,	San,Vicente,	120,	55,	06117,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cardenal,Caro,	Pichilemu,	59,	18,	06201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cardenal,Caro,	La,Estrella,	10,	4,	06202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cardenal,Caro,	Litueche,	18,	8,	06203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cardenal,Caro,	Marchihue,	36,	16,	06204,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cardenal,Caro,	Navidad,	2,	0,	06205,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Cardenal,Caro,	Paredones,	4,	3,	06206,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	San,Fernando,	393,	205,	06301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Chépica,	31,	17,	06302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Chimbarongo,	78,	37,	06303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Lolol,	13,	5,	06304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Nancagua,	70,	38,	06305,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Palmilla,	32,	14,	06306,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Peralillo,	34,	21,	06307,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Placilla,	32,	14,	06308,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Pumanque,	9,	2,	06309,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Libertador,General,Bernardo,O'Higgins,	Colchagua,	Santa,Cruz,	176,	87,	06310,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Talca,	766,	462,	07101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Constitución,	227,	136,	07102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Curepto,	22,	11,	07103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Empedrado,	18,	11,	07104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Maule,	201,	111,	07105,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Pelarco,	10,	4,	07106,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Pencahue,	22,	11,	07107,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	Río,Claro,	12,	2,	07108,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	San,Clemente,	81,	52,	07109,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Talca,	San,Rafael,	15,	6,	07110,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Cauquenes,	Cauquenes,	181,	118,	07201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Cauquenes,	Chanco,	10,	7,	07202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Cauquenes,	Pelluhue,	7,	4,	07203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Curicó,	487,	241,	07301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Maule,	Curicó,	Hualañé,	23,	14,	07302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
