OBJECTID,REG,PROV,COM,Seleccionados,Pagados,CUT,Programa,Capa,Shape_Length,Shape_Area
1,01,011,01101,593,203,01101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.95490385711097,0.198904559940906
2,01,011,01107,291,104,01107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.95011788261691,0.0493881928802258
3,01,014,01401,31,10,01401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,6.72862242739762,1.19494930286851
4,01,014,01402,3,0,01402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.12900597717993,0.189300074589932
5,01,014,01403,1,1,01403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.10138102124375,0.344867632379723
6,01,014,01404,4,0,01404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,6.36503562738523,0.902358375891494
7,01,014,01405,10,5,01405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,6.03864043344614,0.778303253640885
8,02,021,02101,439,185,02101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,10.805407369736,2.7302761204742
9,02,021,02102,5,4,02102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.39367934357282,0.314981168080038
10,02,021,02103,1,0,02103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,5.06028516656987,1.13768959216142
11,02,021,02104,5,1,02104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,7.55602550763418,1.83102282891204
12,02,022,02201,139,28,02201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,5.98369510715269,1.36112359184947
13,02,022,02202,0,0,02202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.64607636707086,0.255087614573138
14,02,022,02203,6,1,02203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,6.71055446674318,2.08593672534146
15,02,023,02301,156,60,02301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.76088336375697,0.360590867856403
