_id,Region,Cod.Comuna,Glosa.Comuna,No en PBS,Mto.en PBS,No sin PBS,Mto.sin PBS,No en APS Internas,Mto.en APS Internas,Total No,Total Mto. m$
1,15.0,15101,ARICA,1711,16865.22799999999915598891675472259521484375,175,1735.21700000000009822542779147624969482421875,75,879.886999999999943611328490078449249267578125,1961,19480.33199999999851570464670658111572265625
2,15.0,15102,CAMARONES,7,85.364000000000004320099833421409130096435546875,0,0,0,0,7,85.364000000000004320099833421409130096435546875
3,15.0,15201,PUTRE,18,299.7649999999999863575794734060764312744140625,1,15.782000000000000028421709430404007434844970703125,0,0,19,315.54699999999996862243278883397579193115234375
4,15.0,15202,GENERAL LAGOS,10,174.931999999999987949195201508700847625732421875,0,0,0,0,10,174.931999999999987949195201508700847625732421875
5,1.0,1101,IQUIQUE,1245,11184.989999999999781721271574497222900390625,117,1702.0940000000000509317032992839813232421875,76,941.9059999999999490682967007160186767578125,1438,13828.9899999999979627318680286407470703125
6,1.0,1107,ALTO HOSPICIO,471,5196.2629999999999199644662439823150634765625,39,440.567999999999983629095368087291717529296875,1,9.4290000000000002700062395888380706310272216796875,511,5646.260000000000218278728425502777099609375
7,1.0,1401,POZO ALMONTE,100,1356.43100000000004001776687800884246826171875,7,114.412000000000006139089236967265605926513671875,2,16.785000000000000142108547152020037174224853515625,109,1487.62800000000015643308870494365692138671875
8,1.0,1402,CAMIÑA,26,382.01600000000001955413608811795711517333984375,0,0,0,0,26,382.01600000000001955413608811795711517333984375
9,1.0,1403,COLCHANE,29,528.3110000000000354702933691442012786865234375,3,44.46300000000000096633812063373625278472900390625,0,0,32,572.7740000000000009094947017729282379150390625
10,1.0,1404,HUARA,38,510.3519999999999754436430521309375762939453125,0,0,0,0,38,510.3519999999999754436430521309375762939453125
11,1.0,1405,PICA,28,245.133999999999986130205797962844371795654296875,2,18.28699999999999903366187936626374721527099609375,2,32.4620000000000032969182939268648624420166015625,32,295.88299999999998135535861365497112274169921875
12,2.0,2101,ANTOFAGASTA,2161,21201.54999999999927240423858165740966796875,234,2671.35600000000022191670723259449005126953125,83,1022.480999999999994543031789362430572509765625,2478,24895.38699999999880674295127391815185546875
13,2.0,2102,MEJILLONES,58,575.732999999999947249307297170162200927734375,2,23.324999999999999289457264239899814128875732421875,2,23.282000000000000028421709430404007434844970703125,62,622.3400000000000318323145620524883270263671875
14,2.0,2103,SIERRA GORDA,1,11.82900000000000062527760746888816356658935546875,1,10.18599999999999994315658113919198513031005859375,0,0,2,22.0150000000000005684341886080801486968994140625
15,2.0,2104,TALTAL,111,1278.21199999999998908606357872486114501953125,8,101.5439999999999969304553815163671970367431640625,7,105.945999999999997953636921010911464691162109375,126,1485.701999999999998181010596454143524169921875
16,2.0,2201,CALAMA,905,9773.363999999999577994458377361297607421875,92,1104.1649999999999636202119290828704833984375,33,520.4260000000000445652403868734836578369140625,1030,11397.95499999999810825102031230926513671875
17,2.0,2202,OLLAGUE,1,9.211999999999999744204615126363933086395263671875,0,0,0,0,1,9.211999999999999744204615126363933086395263671875
18,2.0,2203,SAN PEDRO DE ATACAMA,47,618.7279999999999517967808060348033905029296875,2,27.18900000000000005684341886080801486968994140625,0,0,49,645.91699999999991632648743689060211181640625
19,2.0,2301,TOCOPILLA,250,2415.385000000000218278728425502777099609375,35,359.8170000000000072759576141834259033203125,8,137.628999999999990677679306827485561370849609375,293,2912.831000000000130967237055301666259765625
20,2.0,2302,MARIA ELENA,20,180.931999999999987949195201508700847625732421875,4,58.4789999999999992041921359486877918243408203125,0,0,24,239.41100000000000136424205265939235687255859375
21,3.0,3101,COPIAPO,1176,11567.44399999999950523488223552703857421875,111,1270.47600000000011277734301984310150146484375,94,1428.40900000000010550138540565967559814453125,1381,14266.328999999999723513610661029815673828125
22,3.0,3102,CALDERA,142,1375.3699999999998908606357872486114501953125,10,91.9969999999999998863131622783839702606201171875,10,109.534999999999996589394868351519107818603515625,162,1576.902000000000043655745685100555419921875
23,3.0,3103,TIERRA AMARILLA,73,865.1860000000000354702933691442012786865234375,3,36.63900000000000289901436190120875835418701171875,3,37.5379999999999967030817060731351375579833984375,79,939.363000000000056388671509921550750732421875
24,3.0,3201,CHAÑARAL,161,1664.4870000000000800355337560176849365234375,13,159.3890000000000100044417195022106170654296875,9,137.320999999999997953636921010911464691162109375,183,1961.197000000000116415321826934814453125
25,3.0,3202,DIEGO DE ALMAGRO,91,961.471999999999979991116560995578765869140625,6,69.1929999999999978399500832892954349517822265625,6,79.13700000000000045474735088646411895751953125,103,1109.801999999999907231540419161319732666015625
26,3.0,3301,VALLENAR,717,7735.8810000000003128661774098873138427734375,50,801.1589999999999918145476840436458587646484375,46,662.3719999999999572537490166723728179931640625,813,9199.41200000000026193447411060333251953125
27,3.0,3302,ALTO DEL CARMEN,64,790.8129999999999881765688769519329071044921875,3,47.393000000000000682121026329696178436279296875,2,26.606999999999999317878973670303821563720703125,69,864.8129999999999881765688769519329071044921875
28,3.0,3303,FREIRINA,69,746.2640000000000100044417195022106170654296875,6,90.2540000000000048885340220294892787933349609375,5,58.16499999999999914734871708787977695465087890625,80,894.6829999999999927240423858165740966796875
29,3.0,3304,HUASCO,123,1226.3969999999999345163814723491668701171875,13,144.1100000000000136424205265939235687255859375,4,74.9260000000000019326762412674725055694580078125,140,1445.4329999999999927240423858165740966796875
30,4.0,4101,LA SERENA,1960,19115.83599999999933061189949512481689453125,171,1995.579999999999927240423858165740966796875,127,2168.0230000000001382431946694850921630859375,2258,23279.438999999998486600816249847412109375
31,4.0,4102,COQUIMBO,2228,22154.38200000000142608769237995147705078125,154,2079.77100000000018553691916167736053466796875,121,1856.701999999999998181010596454143524169921875,2503,26090.8550000000032014213502407073974609375
32,4.0,4103,ANDACOLLO,183,1821.488000000000056388671509921550750732421875,7,88.4969999999999998863131622783839702606201171875,20,298.644000000000005456968210637569427490234375,210,2208.6289999999999054125510156154632568359375
33,4.0,4104,LA HIGUERA,43,549.5710000000000263753463514149188995361328125,5,55.68900000000000005684341886080801486968994140625,2,33.5439999999999969304553815163671970367431640625,50,638.8039999999999736246536485850811004638671875
34,4.0,4105,PAIHUANO,39,446.07400000000001227817847393453121185302734375,4,33.34899999999999664623828721232712268829345703125,0,0,43,479.423000000000001818989403545856475830078125
35,4.0,4106,VICUÑA,239,2521.367000000000189174897968769073486328125,19,216.490000000000009094947017729282379150390625,9,174.890999999999991132426657713949680328369140625,267,2912.74800000000004729372449219226837158203125
36,4.0,4201,ILLAPEL,486,5136.85699999999997089616954326629638671875,22,263.3890000000000100044417195022106170654296875,67,1218.618999999999914507498033344745635986328125,575,6618.864999999999781721271574497222900390625
37,4.0,4202,CANELA,208,2661.5889999999999417923390865325927734375,4,54.22999999999999687361196265555918216705322265625,12,208.03600000000000136424205265939235687255859375,224,2923.85500000000001818989403545856475830078125
38,4.0,4203,LOS VILOS,284,2986.01200000000017098500393331050872802734375,20,177.2640000000000100044417195022106170654296875,17,287.48700000000002319211489520967006683349609375,321,3450.76300000000037471181713044643402099609375
39,4.0,4204,SALAMANCA,422,5055.5950000000002546585164964199066162109375,23,246.443999999999988403942552395164966583251953125,45,890.37300000000004729372449219226837158203125,490,6192.41200000000026193447411060333251953125
40,4.0,4301,OVALLE,1489,16496.927999999999883584678173065185546875,73,927.8799999999999954525264911353588104248046875,76,1198.288999999999987267074175179004669189453125,1638,18623.0970000000015716068446636199951171875
41,4.0,4302,COMBARBALA,250,2984.6570000000001527951098978519439697265625,9,265.01299999999997680788510479032993316650390625,14,227.313999999999992951416061259806156158447265625,273,3476.98399999999992360244505107402801513671875
42,4.0,4303,MONTE PATRIA,308,4090.40999999999985448084771633148193359375,27,386.25,8,140.032999999999987039700499735772609710693359375,343,4616.6930000000002110027708113193511962890625
43,4.0,4304,PUNITAQUI,164,1847.4690000000000509317032992839813232421875,5,54.91499999999999914734871708787977695465087890625,9,176.618999999999999772626324556767940521240234375,178,2079.00300000000015643308870494365692138671875
44,4.0,4305,RIO HURTADO,97,1110.009999999999990905052982270717620849609375,3,36.62599999999999766941982670687139034271240234375,3,56.28600000000000136424205265939235687255859375,103,1202.92200000000002546585164964199066162109375
45,5.0,5101,VALPARAISO,2935,26943.544999999998253770172595977783203125,266,2580.0929999999998472048901021480560302734375,111,1283.56899999999995998223312199115753173828125,3312,30807.20699999999851570464670658111572265625
46,5.0,5102,CASABLANCA,284,2768.98199999999997089616954326629638671875,16,146.840000000000003410605131648480892181396484375,6,67.4539999999999935198502498678863048553466796875,306,2983.27600000000029467628337442874908447265625
47,5.0,5103,CONCON,342,3084.80400000000008731149137020111083984375,16,179.578000000000002955857780762016773223876953125,5,51.43999999999999772626324556767940521240234375,363,3315.822000000000116415321826934814453125
48,5.0,5104,JUAN FERNANDEZ,14,132.034999999999996589394868351519107818603515625,0,0,0,0,14,132.034999999999996589394868351519107818603515625
49,5.0,5105,PUCHUNCAVI,199,1948.45299999999997453414835035800933837890625,14,156.263000000000005229594535194337368011474609375,5,45.04099999999999681676854379475116729736328125,218,2149.75700000000006184563972055912017822265625
50,5.0,5107,QUINTERO,400,3876.28000000000020008883439004421234130859375,27,406.20900000000000318323145620524883270263671875,12,130.397999999999996134647517465054988861083984375,439,4412.887000000000625732354819774627685546875
51,5.0,5109,VIÑA DEL MAR,2626,24427.5060000000012223608791828155517578125,226,2484.322000000000116415321826934814453125,84,956.700000000000045474735088646411895751953125,2936,27868.52800000000206637196242809295654296875
52,5.0,5201,ISLA DE PASCUA,32,326.82999999999998408384271897375583648681640625,9,115.6089999999999946567186270840466022491455078125,1,15.114000000000000767386154620908200740814208984375,42,457.55299999999994042809703387320041656494140625
53,5.0,5301,LOS ANDES,635,5805.011000000000422005541622638702392578125,67,644.50199999999995270627550780773162841796875,40,594.4840000000000372892827726900577545166015625,742,7043.997000000001207808963954448699951171875
54,5.0,5302,CALLE LARGA,58,509.567999999999983629095368087291717529296875,7,69.8010000000000019326762412674725055694580078125,0,0,65,579.3690000000000281943357549607753753662109375
55,5.0,5303,RINCONADA,33,327.35399999999998499333742074668407440185546875,7,78.590000000000003410605131648480892181396484375,0,0,40,405.94399999999995998223312199115753173828125
56,5.0,5304,SAN ESTEBAN,96,945.0890000000000554791768081486225128173828125,8,70.5319999999999964757080306299030780792236328125,0,0,104,1015.6210000000000945874489843845367431640625
57,5.0,5401,LA LIGUA,555,5458.634000000000014551915228366851806640625,24,194.865000000000009094947017729282379150390625,32,452.05000000000001136868377216160297393798828125,611,6105.5489999999999781721271574497222900390625
58,5.0,5402,CABILDO,295,3240.99800000000004729372449219226837158203125,11,139.121000000000009322320693172514438629150390625,33,486.596999999999979991116560995578765869140625,339,3866.716000000000349245965480804443359375
59,5.0,5403,PAPUDO,41,389.44900000000001227817847393453121185302734375,5,49.93500000000000227373675443232059478759765625,0,0,46,439.384000000000014551915228366851806640625
60,5.0,5404,PETORCA,111,1237.9780000000000654836185276508331298828125,5,80.4200000000000017053025658242404460906982421875,12,167.731999999999999317878973670303821563720703125,128,1486.1300000000001091393642127513885498046875
61,5.0,5405,ZAPALLAR,43,362.18000000000000682121026329696178436279296875,0,0,0,0,43,362.18000000000000682121026329696178436279296875
62,5.0,5501,QUILLOTA,959,8790.404000000000451109372079372406005859375,72,679.96199999999998908606357872486114501953125,64,761.8400000000000318323145620524883270263671875,1095,10232.206000000000130967237055301666259765625
63,5.0,5502,LA CALERA,1053,9938.904000000000451109372079372406005859375,83,840.0510000000000445652403868734836578369140625,46,584.19000000000005456968210637569427490234375,1182,11363.14500000000043655745685100555419921875
64,5.0,5503,HIJUELAS,75,786.1570000000000391082721762359142303466796875,6,68.465000000000003410605131648480892181396484375,1,17.117000000000000881072992342524230480194091796875,82,871.73900000000003274180926382541656494140625
65,5.0,5504,LA CRUZ,92,777.1860000000000354702933691442012786865234375,3,20.14399999999999835154085303656756877899169921875,2,20.181000000000000937916411203332245349884033203125,97,817.5110000000000809450284577906131744384765625
66,5.0,5506,NOGALES,36,372.749000000000023646862246096134185791015625,2,24.53399999999999891997504164464771747589111328125,2,33.9380000000000023874235921539366245269775390625,40,431.22100000000000363797880709171295166015625
67,5.0,5601,SAN ANTONIO,1117,10723.113999999999577994458377361297607421875,60,635.1309999999999718056642450392246246337890625,109,1528.0219999999999345163814723491668701171875,1286,12886.2669999999998253770172595977783203125
68,5.0,5602,ALGARROBO,180,1737.201999999999998181010596454143524169921875,8,83.8179999999999978399500832892954349517822265625,4,72.9320000000000021600499167107045650482177734375,192,1893.951999999999998181010596454143524169921875
69,5.0,5603,CARTAGENA,319,3182.53499999999985448084771633148193359375,27,293.1019999999999754436430521309375762939453125,3,44.40400000000000346744855050928890705108642578125,349,3520.04099999999971259967423975467681884765625
70,5.0,5604,EL QUISCO,249,2199.38999999999987267074175179004669189453125,11,94.0460000000000064801497501321136951446533203125,3,35.87100000000000221689333557151257991790771484375,263,2329.3069999999997889972291886806488037109375
71,5.0,5605,EL TABO,156,1487.56899999999995998223312199115753173828125,12,117.868999999999999772626324556767940521240234375,2,17.062999999999998834709913353435695171356201171875,170,1622.500999999999976353137753903865814208984375
72,5.0,5606,SANTO DOMINGO,76,867.9260000000000445652403868734836578369140625,4,25.336999999999999744204615126363933086395263671875,1,26.88700000000000045474735088646411895751953125,81,920.15000000000009094947017729282379150390625
73,5.0,5701,SAN FELIPE,432,4236.1750000000001818989403545856475830078125,68,700.354000000000041836756281554698944091796875,67,789.769000000000005456968210637569427490234375,567,5726.298000000000683940015733242034912109375
74,5.0,5702,CATEMU,168,1868.2370000000000800355337560176849365234375,10,93.3319999999999936335370875895023345947265625,7,131.366999999999990222931955941021442413330078125,185,2092.93600000000014915713109076023101806640625
75,5.0,5703,LLAY-LLAY,269,2748.74299999999993815436027944087982177734375,22,244.498999999999995225152815692126750946044921875,9,122.7999999999999971578290569595992565155029296875,300,3116.04199999999991632648743689060211181640625
76,5.0,5704,PANQUEHUE,50,525.703999999999950887286104261875152587890625,5,43.9789999999999992041921359486877918243408203125,0,0,55,569.6829999999999927240423858165740966796875
77,5.0,5705,PUTAENDO,153,1452.40799999999990177457220852375030517578125,9,85.837999999999993860910763032734394073486328125,19,255.08699999999998908606357872486114501953125,181,1793.332999999999856299837119877338409423828125
78,5.0,5706,SANTA MARIA,87,851.953999999999950887286104261875152587890625,14,144.907999999999987039700499735772609710693359375,0,0,101,996.8619999999999663486960344016551971435546875
79,5.0,5801,QUILPUE,1529,13539.41400000000066938810050487518310546875,129,1509.2719999999999345163814723491668701171875,85,929.8350000000000363797880709171295166015625,1743,15978.5210000000006402842700481414794921875
80,5.0,5802,LIMACHE,462,4562.5410000000001673470251262187957763671875,30,321.44400000000001682565198279917240142822265625,18,195.2740000000000009094947017729282379150390625,510,5079.2590000000009240466170012950897216796875
81,5.0,5803,OLMUE,188,1993.678000000000110958353616297245025634765625,11,130.22399999999998954081092961132526397705078125,1,11.6240000000000005542233338928781449794769287109375,200,2135.525999999999839928932487964630126953125
82,5.0,5804,VILLA ALEMANA,1089,10040.351000000000567524693906307220458984375,90,1032.59099999999989449861459434032440185546875,30,414.49299999999999499777914024889469146728515625,1209,11487.43500000000130967237055301666259765625
83,6.0,6101,RANCAGUA,1805,17155.39700000000084401108324527740478515625,164,2209.87600000000020372681319713592529296875,121,1516.55999999999994543031789362430572509765625,2090,20881.83300000000235741026699542999267578125
84,6.0,6102,CODEGUA,87,968.2450000000000045474735088646411895751953125,10,169.520999999999986584953148849308490753173828125,3,29.532000000000000028421709430404007434844970703125,100,1167.298000000000001818989403545856475830078125
85,6.0,6103,COINCO,91,978.8619999999999663486960344016551971435546875,4,35.49600000000000221689333557151257991790771484375,1,2.379000000000000003552713678800500929355621337890625,96,1016.7369999999999663486960344016551971435546875
86,6.0,6104,COLTAUCO,205,2098.76600000000007639755494892597198486328125,18,202.251000000000004774847184307873249053955078125,5,98.3719999999999998863131622783839702606201171875,228,2399.3890000000001236912794411182403564453125
87,6.0,6105,DOÑIHUE,208,1876.42200000000002546585164964199066162109375,8,65.9069999999999964757080306299030780792236328125,5,45.11500000000000198951966012828052043914794921875,221,1987.44399999999995998223312199115753173828125
88,6.0,6106,GRANEROS,209,2013.027000000000043655745685100555419921875,26,313.37700000000000954969436861574649810791015625,15,300.355999999999994543031789362430572509765625,250,2626.760000000000218278728425502777099609375
89,6.0,6107,LAS CABRAS,350,3583.04300000000012005330063402652740478515625,22,378.5140000000000100044417195022106170654296875,13,188.2359999999999899955582804977893829345703125,385,4149.7930000000005748006515204906463623046875
90,6.0,6108,MACHALI,271,2529.920000000000072759576141834259033203125,29,493.5489999999999781721271574497222900390625,10,145.730999999999994543031789362430572509765625,310,3169.1999999999998181010596454143524169921875
91,6.0,6109,MALLOA,154,1669.067999999999983629095368087291717529296875,8,108.7399999999999948840923025272786617279052734375,3,92.6989999999999980673237587325274944305419921875,165,1870.50700000000006184563972055912017822265625
92,6.0,6110,MOSTAZAL,201,2069.73000000000001818989403545856475830078125,20,266.1290000000000190993887372314929962158203125,12,296.134000000000014551915228366851806640625,233,2631.99299999999993815436027944087982177734375
93,6.0,6111,OLIVAR,90,888.1799999999999499777914024889469146728515625,8,121.4369999999999976125764078460633754730224609375,2,51.780000000000001136868377216160297393798828125,100,1061.3969999999999345163814723491668701171875
94,6.0,6112,PEUMO,192,1931.020999999999958163243718445301055908203125,14,168.087999999999993860910763032734394073486328125,6,95.0520000000000067075234255753457546234130859375,212,2194.1610000000000582076609134674072265625
95,6.0,6113,PICHIDEGUA,272,2988.36900000000014188117347657680511474609375,8,86,8,133.80000000000001136868377216160297393798828125,288,3208.16900000000032378011383116245269775390625
